imu_mx,imu_my,imu_mz
15.3,-3.9,-26.25
14.7,-3,-25.05
14.4,-3,-25.65
20.55,-5.85,-26.7
28.8,-7.95,-26.4
34.95,-8.1,-25.2
41.7,-8.7,-21.3
47.7,-9.9,-19.5
50.1,-10.05,-18.3
54.3,-10.95,-14.1
59.85,-10.65,-9.75
62.85,-9.45,-3.6
66.9,-10.95,0
68.25,-10.5,5.85
70.35,-8.4,13.05
71.1,-6,17.4
70.8,-2.4,21.6
68.1,0.3,27.6
70.35,0,29.4
69.15,-2.25,34.05
68.85,-2.55,34.05
67.2,-4.35,36.45
68.4,-4.2,37.35
69.15,-4.2,34.8
70.05,-4.35,33.15
70.65,-8.7,27.6
72,-10.8,21.15
72.45,-12.15,14.1
69.6,-10.95,6.15
65.1,-11.4,1.05
63.6,-9.9,-3.6
60.6,-9.15,-6.15
57.75,-7.5,-11.55
52.65,-8.85,-14.7
49.35,-9.6,-18.3
47.55,-8.85,-21.15
43.95,-10.95,-21.3
43.65,-6.75,-23.25
36.75,-3.9,-23.4
36.75,-1.2,-22.65
34.95,5.85,-19.65
33.3,13.35,-16.65
32.55,19.8,-11.85
35.1,25.2,-4.35
36.15,28.2,0.6
34.5,28.8,6.3
34.95,31.05,9.6
34.5,31.5,15
32.85,33.15,20.7
28.8,33.9,20.7
25.8,35.1,24.3
23.1,34.5,22.95
15.45,35.85,23.85
14.85,34.5,25.95
12.9,33.9,26.4
15.3,33.75,26.7
21.9,34.5,22.65
44.7,21.75,-2.1
51.9,12,-5.25
54.9,4.35,-9.6
55.5,0,-11.55
56.1,-3.6,-10.35
56.25,0.3,-10.05
53.25,4.2,-11.55
49.2,6.45,-13.35
45.15,6,-14.4
41.55,8.1,-16.5
32.85,0,-23.25
33.6,-1.8,-22.8
34.95,-2.4,-24.15
34.5,-5.4,-24.45
33,-8.55,-24.75
33.45,-8.55,-24.75
32.7,-10.05,-26.7
30.15,-9.6,-25.95
28.05,-6.75,-25.65
25.05,-7.95,-26.1
4.05,1.5,-20.7
1.65,3.15,-18.3
-1.8,4.5,-17.4
-5.55,5.7,-14.1
-8.85,5.7,-10.5
-10.8,7.35,-7.35
-16.05,7.8,-0.9
-18.3,7.35,3.45
-19.8,6.6,5.85
-22.2,5.7,10.8
-23.85,5.4,30.6
-21.6,6.3,36
-19.35,7.35,39.3
-16.65,9.15,43.2
-13.8,9.6,47.4
